               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12364,             0.08599,            0.055559,           0.0069549,            0.085622,           0.0051528,           0.0011839,             0.11546,            0.080883,            0.052428,              0.0901,              0.0011,              0.0011
                   1,             0.10819,            0.087717,            0.048547,            0.037368,             0.11101,            0.024702,            0.006216,             0.10471,            0.087982,            0.045987,            0.079186,           0.0021861,           0.0021861
                   2,            0.094017,            0.083175,            0.043279,             0.79509,             0.08427,            0.099371,            0.033611,            0.085533,            0.083534,              0.0408,            0.068154,           0.0031535,           0.0031535
                   3,            0.086451,            0.085466,            0.039645,             0.13664,             0.23549,            0.089087,            0.032523,            0.083714,            0.080944,            0.037024,            0.057002,           0.0040021,           0.0040021
                   4,               0.083,            0.087277,            0.037489,             0.18138,             0.22551,              0.1327,            0.048663,            0.089578,            0.070755,            0.034932,            0.045732,           0.0047318,           0.0047318
                   5,            0.083014,              0.0846,            0.036103,             0.36769,             0.23531,             0.14628,            0.052322,            0.086551,            0.067078,            0.033151,            0.034343,           0.0053428,           0.0053428
                   6,            0.079144,            0.083031,            0.035098,             0.34856,             0.21398,             0.11638,            0.039054,             0.08941,            0.068146,            0.031242,            0.022835,           0.0058349,           0.0058349
                   7,            0.078494,            0.085356,            0.033636,             0.38743,             0.23561,             0.14975,            0.054518,            0.082905,            0.065823,            0.029876,            0.011208,           0.0062083,           0.0062083
                   8,            0.076511,            0.081007,            0.032417,             0.44263,             0.22892,             0.18449,            0.076316,            0.072874,            0.066137,            0.029196,             0.00604,             0.00604,             0.00604
                   9,            0.073832,            0.081846,            0.031119,             0.45548,             0.23572,              0.1913,             0.07811,            0.072976,            0.067736,            0.027759,             0.00604,             0.00604,             0.00604
                  10,            0.069887,             0.08232,            0.030089,             0.55151,             0.24917,             0.22263,            0.090869,            0.069771,            0.065378,            0.027244,            0.005545,            0.005545,            0.005545
                  11,            0.066794,            0.081037,            0.029476,             0.57204,             0.26204,             0.25405,             0.11351,             0.06638,            0.066095,            0.026347,             0.00505,             0.00505,             0.00505
                  12,            0.065273,            0.080905,            0.029018,             0.68028,             0.29203,             0.32585,             0.14624,            0.063931,            0.066818,            0.025758,            0.004555,            0.004555,            0.004555
                  13,            0.062304,            0.079038,            0.029576,             0.67722,              0.2974,             0.31866,              0.1317,            0.065188,            0.066755,            0.025257,             0.00406,             0.00406,             0.00406
                  14,            0.061542,            0.082311,            0.027706,             0.70018,             0.31856,              0.3546,             0.15927,            0.060112,             0.06649,            0.024774,            0.003565,            0.003565,            0.003565
                  15,            0.059655,            0.083058,            0.027528,             0.67041,             0.32571,             0.36326,             0.16815,             0.05984,             0.06674,            0.024376,             0.00307,             0.00307,             0.00307
                  16,            0.058556,            0.078504,            0.026154,             0.71095,             0.34245,             0.38398,             0.18299,            0.057651,            0.066162,            0.024184,            0.002575,            0.002575,            0.002575
                  17,            0.057286,            0.087459,            0.027411,             0.71389,             0.34005,             0.38829,             0.18686,             0.05705,            0.066216,            0.023847,             0.00208,             0.00208,             0.00208
                  18,            0.056701,            0.082894,            0.026434,             0.72539,             0.33738,             0.39394,             0.19572,            0.055949,            0.065845,             0.02371,            0.001585,            0.001585,            0.001585
                  19,             0.05528,            0.081463,            0.026435,              0.7418,             0.34704,             0.40536,             0.20299,            0.055107,            0.065361,            0.023302,             0.00109,             0.00109,             0.00109
